title,description,seller_rating,seller_completed_auctions,seller_cancel_rate,title_length,desc_length,num_positive_keywords,num_negative_keywords,start_price,start_price_log,duration_minutes,extension_seconds,start_hour,day_of_week,is_weekend,auto_approve
iphone 13 bao hanh,san pham thuoc nhom dien thoai. ten san pham iphone 13. co dac diem bao hanh. co dac diem fullbox. hinh anh that. thong tin trung thuc. co the giao dich truc tiep. chat luong tot. da su dung on dinh,3.02,6,0.253,18,198,3,1,48101262,17.68882,180,120,17,3,0,0
nikon d750 day du phu kien,san pham thuoc nhom camera. ten san pham nikon d750. co dac diem bao hanh. co dac diem day du phu kien. co dac diem nguyen seal. mo ta chi tiet. ho tro kiem tra. co the giao dich truc tiep,1.37,24,0.162,26,188,3,0,23132477,16.95675,120,45,1,5,1,0
xiaomi 13,san pham thuoc nhom dien thoai. ten san pham xiaomi 13. thong tin trung thuc. mo ta chi tiet. co the giao dich truc tiep. hinh anh that,3.65,197,0.13,9,135,0,1,5404748,15.50279,240,30,3,3,0,0
sony wh-1000xm5 moi,san pham thuoc nhom tai nghe. ten san pham sony wh-1000xm5. co dac diem moi. ngoai hinh dep. mo ta chi tiet. nguon goc ro rang,2.85,69,0.445,19,126,2,0,42999656,17.5767,180,90,7,5,1,0
iphone 14 pro fullbox,san pham thuoc nhom dien thoai. ten san pham iphone 14 pro. co dac diem day du phu kien. co dac diem moi. co dac diem fullbox. luu y vo. mo ta chi tiet. chat luong tot. da su dung on dinh. ho tro kiem tra,2.84,67,0.063,21,204,4,1,37722777,17.44577,120,45,23,4,0,1
fujifilm xt30 bao hanh,san pham thuoc nhom camera. ten san pham fujifilm xt30. co dac diem bao hanh. luu y test. luu y cu. nguon goc ro rang. thong tin trung thuc,4.17,108,0.268,22,139,1,3,25871297,17.06864,90,90,14,4,0,0
canon eos moi,san pham thuoc nhom camera. ten san pham canon eos. co dac diem dep. co dac diem moi. co hoa don. da su dung on dinh,1.63,0,0.429,13,116,2,0,48346952,17.69391,60,90,5,4,0,0
sony wh-1000xm5 dep,san pham thuoc nhom tai nghe. ten san pham sony wh-1000xm5. co dac diem dep. luu y test. hinh anh that. co the giao dich truc tiep. ho tro kiem tra. da su dung on dinh. nguon goc ro rang,1.96,61,0.395,19,186,1,1,5335296,15.48986,30,120,15,6,1,0
sony a6400 dep,san pham thuoc nhom camera. ten san pham sony a6400. co dac diem dep. ngoai hinh dep. da su dung on dinh. mo ta chi tiet. co hoa don,4.02,176,0.091,14,132,1,0,20968926,16.85855,90,120,20,2,0,1
fujifilm xt30 nguyen seal,san pham thuoc nhom camera. ten san pham fujifilm xt30. co dac diem nguyen seal. thong tin trung thuc. mo ta chi tiet. hinh anh that,1.28,161,0.026,25,132,1,1,4573159,15.33571,30,45,2,4,0,0
galaxy watch tot,san pham thuoc nhom dong ho. ten san pham galaxy watch. co dac diem tot. co dac diem it dung. luu y cu. mo ta chi tiet. co the giao dich truc tiep. ngoai hinh dep. ho tro kiem tra. thong tin trung thuc,2.42,105,0.21,16,201,3,2,48977452,17.70687,30,120,20,5,1,0
casio gshock it dung,san pham thuoc nhom dong ho. ten san pham casio gshock. co dac diem like new. co dac diem it dung. co dac diem dep. da su dung on dinh. nguon goc ro rang. co hoa don,2.85,223,0.415,20,165,3,0,29788000,17.20962,240,90,3,0,0,1
canon eos like new,san pham thuoc nhom camera. ten san pham canon eos. co dac diem like new. co dac diem bao hanh. co dac diem day du phu kien. luu y cu. luu y khong ro. nguon goc ro rang. da su dung on dinh,1.01,99,0.119,18,188,3,3,30585094,17.23602,60,60,22,5,1,0
fujifilm xt30 chinh hang,san pham thuoc nhom camera. ten san pham fujifilm xt30. co dac diem chinh hang. hinh anh that. thong tin trung thuc. chat luong tot. co hoa don,4.68,135,0.071,24,143,2,1,34129793,17.34568,30,30,2,4,0,1
asus tuf like new,san pham thuoc nhom laptop. ten san pham asus tuf. co dac diem like new. luu y gap. thong tin trung thuc. ngoai hinh dep. ho tro kiem tra. nguon goc ro rang. co the giao dich truc tiep,3.68,80,0.107,17,184,2,2,26610738,17.09683,45,120,20,2,0,0
iphone 13 it dung vo,san pham thuoc nhom dien thoai. ten san pham iphone 13. co dac diem fullbox. co dac diem it dung. luu y test. luu y vo. mo ta chi tiet. ho tro kiem tra,2.14,112,0.375,20,151,2,2,47263765,17.67125,60,90,20,4,0,0
nikon d750 bao hanh,san pham thuoc nhom camera. ten san pham nikon d750. co dac diem bao hanh. co dac diem moi. co dac diem fullbox. co hoa don. thong tin trung thuc. mo ta chi tiet,3.87,52,0.309,19,161,3,1,17765659,16.69278,120,60,8,6,1,1
casio gshock,san pham thuoc nhom dong ho. ten san pham casio gshock. co hoa don. nguon goc ro rang. chat luong tot,3.21,109,0.252,12,101,1,0,7557729,15.83808,30,120,4,4,0,0
sony wh-1000xm5 nguyen seal,san pham thuoc nhom tai nghe. ten san pham sony wh-1000xm5. co dac diem nguyen seal. mo ta chi tiet. thong tin trung thuc. co the giao dich truc tiep. nguon goc ro rang,4.12,226,0.394,27,168,1,1,41701888,17.54606,180,30,7,6,1,0
asus tuf,san pham thuoc nhom laptop. ten san pham asus tuf. luu y khong bao hanh. mo ta chi tiet. co hoa don. nguon goc ro rang. da su dung on dinh. ho tro kiem tra,1.43,223,0.017,8,155,1,2,31637472,17.26985,45,30,14,2,0,0
