text,HELLO,OK,COMPLIMENT,CONNECT_TO_ADMIN,EXPLAIN_BALANCE,GUIDE_SEARCH_AUCTION,GUIDE_BIDDING,GUIDE_CREATE_AUCTION,GUIDE_CHECK_TIME_LEFT,GUIDE_ANTI_SNIPING,UNKNOWN
số dư ảnh hưởng gì khi đặt giá giúp tôi,0,0,0,0,1,0,0,0,0,0,0
lam sao de dat gia toi hoi chua ro,0,0,0,0,0,0,1,0,0,0,0
ê trai nghiem kha tot tren man hinh hien tai,0,0,1,0,0,0,0,0,0,0,0
đếm ngược nằm ở chỗ nào,0,0,0,0,0,0,0,0,1,0,0
khi nào phiên kết thúc trong hệ thống,0,0,0,0,0,0,0,0,1,0,0
số dư trong hệ thống được hiểu như thế nào tôi hơi chưa rõ,0,0,0,0,1,0,0,0,0,0,0
can lien he admin noi ngan gon thoi,0,0,0,1,0,0,0,0,0,0,0
xem phiên sắp kết thúc tôi hơi chưa rõ,0,0,0,0,0,1,0,0,0,0,0
search phiên đấu giá sau đó xem thời hạn phiên đấu giá,0,0,0,0,0,1,0,0,1,0,0
khi nào phiên kết thúc với ạ,0,0,0,0,0,0,0,0,1,0,0
hơi gấp bạn đang online kông và vì sao thời gian đấu ggiá tăng thêm huhu,1,0,0,0,0,0,0,0,0,1,0
cần thông tin gì để tạo phiên trong hệ thống,0,0,0,0,0,0,0,1,0,0,0
đồng ý trên màn hình hiện tại,0,1,0,0,0,0,0,0,0,0,0
ờ da hieu tren man hinh hien tai,0,1,0,0,0,0,0,0,0,0,0
ổn rồi,0,1,0,0,0,0,0,0,0,0,0
phiên này còn bao lâu,0,0,0,0,0,0,0,0,1,0,0
tôi muốn nghe nhạc với ạ,0,0,0,0,0,0,0,0,0,0,1
hi tro ly xong roi can ho tro truc tiep gấp,1,0,0,1,0,0,0,0,0,0,0
số tiền còn lại trong ví là gì trong hệ thống,0,0,0,0,1,0,0,0,0,0,0
cách lọc phiên đấu giá theo danh mục tôi hơi chưa rõ,0,0,0,0,0,1,0,0,0,0,0
trải nghiệm khá tốt nói ngắn gọn thôi,0,0,1,0,0,0,0,0,0,0,0
cách lọc phiên đấu giá theo danh mục khi tôi đang dùng app,0,0,0,0,0,1,0,0,0,0,0
hi trợ lý sau đó làm sao để đặt giá,1,0,0,0,0,0,1,0,0,0,0
tạo phiên cho sp mới tôi hơi chưa rõ,0,0,0,0,0,0,0,1,0,0,0
gia han tu dong khhi nao xay ra noi gnan gon thoi,0,0,0,0,0,0,0,0,0,1,0
kiểm tra giờ kết thúc phiên,0,0,0,0,0,0,0,0,1,0,0
thông tin này giúp ích nhiều nhé,0,0,1,0,0,0,0,0,0,0,0
hướng dẫn tìm phòng đấu giá nhé,0,0,0,0,0,1,0,0,0,0,0
ok rồi cần nhập gì khi đặt giá,0,1,0,0,0,0,1,0,0,0,0
số dư liên quan gì tới thanh toán tôi hơi chưa rõ,0,0,0,0,1,0,0,0,0,0,0
luat chong dat gia phut cuoi voi a ...,0,0,0,0,0,0,0,0,0,1,0
hướng dẫn tôi bid nhé,0,0,0,0,0,0,1,0,0,0,0
số dư liên quan gì tới thanh toán rồi làm sao để đặt giá,0,0,0,0,1,0,1,0,0,0,0
vì sao phải kiểm tra số dư trên màn hình hiện tại,0,0,0,0,1,0,0,0,0,0,0
này cach mo phong dau gia mooi khi toi dag dung app,0,0,0,0,0,0,0,1,0,0,0
ggiai thich e hieu trong he thong,0,0,1,0,0,0,0,0,0,0,0
cho tôi hỏi một chút trong hệ thống,1,0,0,0,0,0,0,0,0,0,0
pls anti sniping hoat dong the nao giup toi,0,0,0,0,0,0,0,0,0,1,0
alo chatbot nói ngắn gọn thôi,1,0,0,0,0,0,0,0,0,0,0
huong dan toi bid noi ngan gon thoi ạ,0,0,0,0,0,0,1,0,0,0,0
hướng dẫn đăng sản phẩm đấu giá nói ngắn gọn thôi,0,0,0,0,0,0,0,1,0,0,0
hello khi tôi đang dùng app,1,0,0,0,0,0,0,0,0,0,0
seller lobby tạo phiên ở đâu với ạ,0,0,0,0,0,0,0,1,0,0,0
không rõ lắm tôi mmuốn dgia sản phẩm trê màn hình hiện tại,0,0,0,0,0,0,1,0,0,0,0
hiểu rồi sau đó tôi muốn đấu giá sản phẩm,0,1,0,0,0,0,1,0,0,0,0
help bam nut nao de gui gia kem theo phien gan het gio chua,0,0,0,0,0,0,1,0,1,0,0
liên hệ người phụ trách giúp tôi trong hệ thống,0,0,0,1,0,0,0,0,0,0,0
xin chào nhé,1,0,0,0,0,0,0,0,0,0,0
bạn làm tốt lắm đồng thời hướng dẫn tôi bid,0,0,1,0,0,0,1,0,0,0,0
kể chuyện cười đi giúp tôi,0,0,0,0,0,0,0,0,0,0,1
cách mở phòng đấu giá mới sau đó cơ chế gia hạn phiên cuối giờ,0,0,0,0,0,0,0,1,0,1,0
help auto exted trrong dau gia la gi tren man hinh hien tai,0,0,0,0,0,0,0,0,0,1,0
toi muon gap tu vna vien trong e thong ạ,0,0,0,1,0,0,0,0,0,0,0
loc sp dang dau gia xong roi auction con bao lau nha,0,0,0,0,0,1,0,0,1,0,0
không rõ lắm viết bài thơ về biển trên màn hình hiện tại đc ko,0,0,0,0,0,0,0,0,0,0,1
bạn đang online không xong rồi lọc sản phẩm đang đấu giá,1,0,0,0,0,1,0,0,0,0,0
tạo phiên cho sp mới xong rồi phiên này còn bao lâu,0,0,0,0,0,0,0,1,1,0,0
seller lobby tạo phiên ở đâu sau đó xem thời gian còn lại,0,0,0,0,0,0,0,1,1,0,0
rõ rồi khi tôi đang dùng app,0,1,0,0,0,0,0,0,0,0,0
seller muốn đăng sản phẩm,0,0,0,0,0,0,0,1,0,0,0
ok trên màn hình hiện tại,0,1,0,0,0,0,0,0,0,0,0
cần hỗ trợ trực tiếp và làm sao tạo phiên đấu giá,0,0,0,1,0,0,0,1,0,0,0
ơhi gấp can thong tin ggi de tao phien nhe,0,0,0,0,0,0,0,1,0,0,0
đồng ý nói ngắn gọn thôi,0,1,0,0,0,0,0,0,0,0,0
bạn thích màu gì giúp tôi,0,0,0,0,0,0,0,0,0,0,1
ok xong rồi hướng dẫn đăng sp đấu giá,0,1,0,0,0,0,0,1,0,0,0
tôi mới vào hệ thống sau đó anti sniping hoạt động thế nào,1,0,0,0,0,0,0,0,0,1,0
trải nghiệm khá tốt cho người mới,0,0,1,0,0,0,0,0,0,0,0
không rõ lắm hoom nay trio dep voi a,0,0,0,0,0,0,0,0,0,0,1
xem thời gian còn lại,0,0,0,0,0,0,0,0,1,0,0
rõ rồi trong hệ thống,0,1,0,0,0,0,0,0,0,0,0
auction còn bao lâu,0,0,0,0,0,0,0,0,1,0,0
cho hỏi giải thíích chống sniing,0,0,0,0,0,0,0,0,0,1,0
mình hỏi ngu tí lam sao kiem tra phien dang hoat dong va dem nguoc nam o cho nao huhu,0,0,0,0,0,1,0,0,1,0,0
lobby co nhung phien noa trng he thong,0,0,0,0,0,1,0,0,0,0,0
tạm ổn,0,1,0,0,0,0,0,0,0,0,0
auction còn bao lâu tôi hơi chưa rõ,0,0,0,0,0,0,0,0,1,0,0
làm sao xem danh sách đấu giá cho người mới,0,0,0,0,0,1,0,0,0,0,0
search phiên đấu giá nhé,0,0,0,0,0,1,0,0,0,0,0
còn mấy phút nữa kết thúc cho người mới,0,0,0,0,0,0,0,0,1,0,0
cau tra loi du roi tren man hinh hien tai với,0,1,0,0,0,0,0,0,0,0,0
hiểu rồi cho người mới,0,1,0,0,0,0,0,0,0,0,0
chatbot thông minh với ạ,0,0,1,0,0,0,0,0,0,0,0
xem thời hạn phiên đấu giá trên màn hình hiện tại,0,0,0,0,0,0,0,0,1,0,0
help dong y xong roi can nhap gi khi dat gia thanks,0,1,0,0,0,0,1,0,0,0,0
ad ơi ad co the ho tro khong xong roi quy trinh dat gia trong phong,0,0,0,1,0,0,1,0,0,0,0
hiểu rồi nói ngắn gọn thôi,0,1,0,0,0,0,0,0,0,0,0
khi nào phiên kết thúc nói ngắn gọn thôi,0,0,0,0,0,0,0,0,1,0,0
chào buổi sáng sua đó tại sao pphiên tự kéo dài với,1,0,0,0,0,0,0,0,0,1,0
tìm auction room giúp tôi,0,0,0,0,0,1,0,0,0,0,0
gửi phiên để admin duyệt tôi hơi chưa rõ,0,0,0,0,0,0,0,1,0,0,0
kiểm tra time left,0,0,0,0,0,0,0,0,1,0,0
tim auction room dong thoi phien gan het gio chua,0,0,0,0,0,1,0,0,1,0,0
cho hỏi keim tra gi ket thuc phien trong he thong,0,0,0,0,0,0,0,0,1,0,0
tôi mới vào hệ thống khi tôi đang dùng app,1,0,0,0,0,0,0,0,0,0,0
hướng dẫn về chống đặt giá phút cuối tôi hơi chưa rõ,0,0,0,0,0,0,0,0,0,1,0
help kết nối admin giúp tôi giúp tôi,0,0,0,1,0,0,0,0,0,0,0
số dư liên quan gì tới thanh toán,0,0,0,0,1,0,0,0,0,0,0
tôi ghi nhận giúp tôi,0,1,0,0,0,0,0,0,0,0,0
hướng dẫn xem countdown cho người mới,0,0,0,0,0,0,0,0,1,0,0
đã hiểu cho người mới,0,1,0,0,0,0,0,0,0,0,0
ê toi can nguoi xu ly noi ngan gon thoi,0,0,0,1,0,0,0,0,0,0,0
lọc sản phẩm đang đấu giá đồng thời đặt giá như thế nào,0,0,0,0,0,1,1,0,0,0,0
miinh hcao ban trong he thong ạ,1,0,0,0,0,0,0,0,0,0,0
admin có thể hỗ trợ không trong hệ thống,0,0,0,1,0,0,0,0,0,0,0
toi can nugoi xu ly trong e thong,0,0,0,1,0,0,0,0,0,0,0
rõ rồi nhé,0,1,0,0,0,0,0,0,0,0,0
search phiên đấu giá cho người mới,0,0,0,0,0,1,0,0,0,0,0
tai sao phien tu keo dai khi toi dang dung app,0,0,0,0,0,0,0,0,0,1,0
hơi gấp vi sao thoi gian dau gia tang them nhe,0,0,0,0,0,0,0,0,0,1,0
ý nghĩa của số dư trong đấu giá,0,0,0,0,1,0,0,0,0,0,0
làm sao xem danh scáh đấu giá cho ngưi mới,0,0,0,0,0,1,0,0,0,0,0
tạm ổn trên màn hình hiện tại,0,1,0,0,0,0,0,0,0,0,0
giá hợp lệ là gì khi bid ...,0,0,0,0,0,0,1,0,0,0,0
huong dan dang san pham dau gia voi a,0,0,0,0,0,0,0,1,0,0,0
goi nha vien ho troo dong thoi tao phien cho san pham moi nha,0,0,0,1,0,0,0,1,0,0,0
tg ddau gia con bao nhiue nhe ???,0,0,0,0,0,0,0,0,1,0,0
cho hỏi làm sao kiể tra phiên đang hoạt động kèm theo hướng dẫẫn xem countdown,0,0,0,0,0,1,0,0,1,0,0
hey assistant trên màn hình hiện tại,1,0,0,0,0,0,0,0,0,0,0
không rõ lắm làm saao biết phiên sắp hết giờ thans,0,0,0,0,0,0,0,0,1,0,0
chào hệ thống với ạ,1,0,0,0,0,0,0,0,0,0,0
cho hỏi cach loc phien dau gia theo danh muc xong roi gia hop le la gi khi bid,0,0,0,0,0,1,1,0,0,0,0
cach loc phien dau gia theo danh muc cho nguoi moi,0,0,0,0,0,1,0,0,0,0,0
chào buổi chiều kèm theo số dư có phải tiền khả dụng không,1,0,0,0,1,0,0,0,0,0,0
lobby có những phiên nào trên màn hình hiện tại,0,0,0,0,0,1,0,0,0,0,0
vì sao countdown nhảy thêm thời gian tôi hơi chưa rõ,0,0,0,0,0,0,0,0,0,1,0
abc xyz không hiểu với ạ,0,0,0,0,0,0,0,0,0,0,1
thời tiết ngày mai sao tôi hơi chưa rõ,0,0,0,0,0,0,0,0,0,0,1
auction còn bao lâu nói ngắn gọn thôi ạ,0,0,0,0,0,0,0,0,1,0,0
cho hỏi bid bị từ chối thì kiểm tra gì nhh,0,0,0,0,0,0,1,0,0,0,0
phiên gần hết giờ chưa,0,0,0,0,0,0,0,0,1,0,0
số dư dùng để làm gì nói ngắn gọn thôi,0,0,0,0,1,0,0,0,0,0,0
help cho toi hoi mot chut giup toi nha,1,0,0,0,0,0,0,0,0,0,0
phần này đã rõ khi tôi đang dùng app,0,1,0,0,0,0,0,0,0,0,0
hiểu rồi đồng thời bấm nút nào để gửi giá,0,1,0,0,0,0,1,0,0,0,0
thời gian đấu giá còn bao nhiêu,0,0,0,0,0,0,0,0,1,0,0
ok cho người mới,0,1,0,0,0,0,0,0,0,0,0
cho toi hoi mot chut cho nguoi moi đc ko,1,0,0,0,0,0,0,0,0,0,0
chào bạn và hướng dẫn bidder tham gia phiên,1,0,0,0,0,0,1,0,0,0,0
đã hiểu kèm theo tôi muốn đấu giá sản phẩm,0,1,0,0,0,0,1,0,0,0,0
tìm hpiên bán latop với ạ,0,0,0,0,0,1,0,0,0,0,0
mình hỏi ngu tí ban lam tot lam trong he thong ???,0,0,1,0,0,0,0,0,0,0,0
đặt giá phút cuối có gia hạn không với ạ,0,0,0,0,0,0,0,0,0,1,0
xin chào và tôi cần người xử lý,1,0,0,1,0,0,0,0,0,0,0
số tiền còn lại trong ví là gì nói ngắn gọn thôi,0,0,0,0,1,0,0,0,0,0,0
tạm ổn cho người mới,0,1,0,0,0,0,0,0,0,0,0
gia han tu dong khi nao xay ra giup toi,0,0,0,0,0,0,0,0,0,1,0
có ai hỗ trợ không cho người mới,1,0,0,0,0,0,0,0,0,0,0
sniping trong đấu giá nghĩa là gì với ạ,0,0,0,0,0,0,0,0,0,1,0
hỗ trợ nhanh thật đồng thời auto extend trong đấu giá là gì,0,0,1,0,0,0,0,0,0,1,0
tìm phiên theo tên sản phẩm cho người mới,0,0,0,0,0,1,0,0,0,0,0
hướng dẫn đăng sản phẩm đấu giá rồi hướng dẫn xem countdown,0,0,0,0,0,0,0,1,1,0,0
ad ơi ket noi addmin giup oi trong he thong thanks,0,0,0,1,0,0,0,0,0,0,0
hey assistant khi tôi đang dùng app,1,0,0,0,0,0,0,0,0,0,0
place bid như thế nào nói ngắn gọn thôi,0,0,0,0,0,0,1,0,0,0,0
xem thời gian còn lại giúp tôi,0,0,0,0,0,0,0,0,1,0,0
heelp số dư có phiả tiền khả dụng không giúp tôi ạ,0,0,0,0,1,0,0,0,0,0,0
ý nghĩa của số dư trong đấu giá nhé,0,0,0,0,1,0,0,0,0,0,0
cần nhập gì khi đặt giá nhé,0,0,0,0,0,0,1,0,0,0,0
hướng dẫn tôi bid trên màn hình hiện tại,0,0,0,0,0,0,1,0,0,0,0
alo chatbot với ạ,1,0,0,0,0,0,0,0,0,0,0
liên hệ người phụ trách giúp tôi khi tôi đang dùng app,0,0,0,1,0,0,0,0,0,0,0
kiem tra gio ket thuc phien nhe nha,0,0,0,0,0,0,0,0,1,0,0
ad ơi sniping trong đấu giá nghĩa là gì khi tôi đang dùng app plz,0,0,0,0,0,0,0,0,0,1,0
ban dang online khong va so du dung de lam gi,1,0,0,0,1,0,0,0,0,0,0
thời gian đấu giá còn bao nhiêu trên màn hình hiện tại,0,0,0,0,0,0,0,0,1,0,0
lam sao tao phien da gia tren man hinh ihen tai,0,0,0,0,0,0,0,1,0,0,0
mở bản đồ giúp tôi,0,0,0,0,0,0,0,0,0,0,1
này huong dan tim phong dau gia voi a gấp,0,0,0,0,0,1,0,0,0,0,0
ê tôi mới vào hệ thống tôi hơi chưa rõ,1,0,0,0,0,0,0,0,0,0,0
này tai sao can co sos du cho nguoi moi,0,0,0,0,1,0,0,0,0,0,0
gia hop le la gi khi bid dong thoi xem dong ho dem nguoc o dau,0,0,0,0,0,0,1,0,1,0,0
tôi mới vào hệ thống rồi ý nghĩa của số dư trong đấu giá,1,0,0,0,1,0,0,0,0,0,0
help de toi thu tong he thnog ạ,0,1,0,0,0,0,0,0,0,0,0
bạn thích màu gì,0,0,0,0,0,0,0,0,0,0,1
khi nào số dư bị trừ cho người mới,0,0,0,0,1,0,0,0,0,0,0
chào hệ thống,1,0,0,0,0,0,0,0,0,0,0
vì sao thời gian đấu giá tăng thêm khi tôi đang dùng app,0,0,0,0,0,0,0,0,0,1,0
tìm phien đấu giá rồi thời gian đấu giá còn bao nhiêu,0,0,0,0,0,1,0,0,1,0,0
hỗ trợ nhanh thật đồng thời bid bị từ chối thì kiểm tra gì,0,0,1,0,0,0,1,0,0,0,0
huong dan tim phong dau gia noi ngan gon thoi,0,0,0,0,0,1,0,0,0,0,0
chatbot chưa giải quyết được xong rồi place bid như thế nào,0,0,0,1,0,0,1,0,0,0,0
xin chào rồi muốn giữ giá cao nhất thì làm sao,1,0,0,0,0,0,1,0,0,0,0
hướng dẫn về chống đặt giá phút cuối giúp tôi,0,0,0,0,0,0,0,0,0,1,0
bấm nút nào để gửi giá tôi hơi chưa rõ,0,0,0,0,0,0,1,0,0,0,0
cho hỏi sniping trong dau gia nghia la gi nhe huhu,0,0,0,0,0,0,0,0,0,1,0
pls làm sao kiểm tra phiên đang hoạt động kèm theo khi nào phiên kết thúc,0,0,0,0,0,1,0,0,1,0,0
trợ lý hữu ích quá cho người mới,0,0,1,0,0,0,0,0,0,0,0
auto extend trong đấu giá là gì tôi hơi chưa rõ,0,0,0,0,0,0,0,0,0,1,0
