text,ĐĂNG KÝ TÀI KHOẢN,ĐĂNG NHẬP HỆ THỐNG,QUÊN MẬT KHẨU VÀ ĐẶT LẠI MẬT KHẨU,PHÂN QUYỀN NGƯỜI DÙNG,QUẢN LÝ SỐ DƯ TÀI KHOẢN,XEM DANH SÁCH PHIÊN ĐẤU GIÁ,XEM CHI TIẾT SẢN PHẨM ĐẤU GIÁ,THAM GIA PHÒNG ĐẤU GIÁ,RỜI PHÒNG ĐẤU GIÁ,ĐẶT GIÁ TRONG PHIÊN ĐẤU GIÁ,CẬP NHẬT GIÁ REALTIME,XEM LỊCH SỬ ĐẶT GIÁ,CHAT TRONG PHÒNG ĐẤU GIÁ,XEM THỜI GIAN CÒN LẠI CỦA PHIÊN,ANTI-SNIPING,KHÓA NGƯỜI THAM GIA MỚI Ở CUỐI PHIÊN,TỰ ĐỘNG CHỐT PHIÊN ĐẤU GIÁ,XỬ LÝ TIỀN KHI PHIÊN KẾT THÚC,TỰ ĐỘNG ĐƯA NGƯỜI DÙNG VỀ LOBBY,SELLER TẠO YÊU CẦU PHIÊN ĐẤU GIÁ,KIỂM TRA DỮ LIỆU TẠO PHIÊN ĐẤU GIÁ,YÊU CẦU DUYỆT PHIÊN ĐẤU GIÁ,SELLER ĐÓNG PHIÊN ĐẤU GIÁ,THÔNG BÁO TRẠNG THÁI PHIÊN,CHATBOT HỖ TRỢ NGƯỜI DÙNG,NGOÀI LỀ,CHỦ ĐỀ NGUY HIỂM,AI HỖ TRỢ AUTO APPROVE,Không Rõ
Tôi là seller muốn đóng phiên đấu giá sớm rồi tự động chốt phiên theo trạng thái hiện tại.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Admin ơi, tôi là seller muốn đóng phiên đấu giá sớm nhưng không được xử lý tiền nếu là seller đóng sớm mình đang thao tác?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
toi la seller muon dong phien dg som va dua bidder ve lobby sau khi ket thuc vi minh chua ro luong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
tôi là seller muốn đóng phien đấu giá sớm kèm thông báo trạng thái phiên cho mọi người nhé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"tôi là seller muốn đóng phiên đấu giá sớm, sau khi kiểm tra lịch sử đặt giá hiện tại đi, mình hơi rối vì màn hình không nói rõ bước tiếp theo.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ê cho hỏi, tôi là seller muốn đóng phiên đấu giá sớm, khi thời gian còn lại chưa về 0; nếu thiếu điều kiện thì báo rõ giúp mình vì mình chưa rõ luồng.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Seller có thể kết thúc phiên này ngay không và khóa người mới không cho vào thêm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Help với, seller có thể kết thúc phiên này ngay không rồi gửi message trong phòng để bidder biết để khỏi làm sai?",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"seller co the ket thuc phien nay ngay ko, vi phien vua dc duyet nhung sp sai thong tin dc ko",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"seller có thể kết thúc phien này ngay không, khác với luồng hết giờ tự động chốt và settlement pls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"seller có thể kết thúc phiên này ngay không, nếu đang anti-sniping thì cũng phải dừng an toàn đi, mình hơi rối vì màn hình không nói rõ bước tiếp theo.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Này ad, seller có thể kết thúc phiên này ngay không và chatbot cần giải thích seller close khác timeout; nếu thiếu điều kiện thì báo rõ giúp mình được không.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Nút đóng phiên của tôi nằm ở đâu rồi tự động chốt phiên theo trạng thái hiện tại.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Admin ơi, nút đóng phiên của tôi nằm ở đâu nhưng không được xử lý tiền nếu là seller đóng sớm mình đang thao tác?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
nut dong phien cua toi nam o dau va dua bidder ve lobby sau khi ket thuc vi minh chua ro luong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
nút đóng phien của tôi nằm ở đâu kèm thông báo trạng thái phiên cho mọi người nhé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"nút đóng phiên của tôi nằm ở đâu, sau khi kiểm tra lịch sử đặt giá hiện tại đi, mình hơi rối vì màn hình không nói rõ bước tiếp theo.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ê cho hỏi, nút đóng phiên của tôi nằm ở đâu, khi thời gian còn lại chưa về 0; nếu thiếu điều kiện thì báo rõ giúp mình vì mình chưa rõ luồng.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tôi muốn dừng phiên trước thời gian kết thúc và khóa người mới không cho vào thêm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Help với, tôi muốn dừng phiên trước thời gian kết thúc rồi gửi message trong phòng để bidder biết để khỏi làm sai?",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"toi muon dung phien truoc thoi gian ket thuc, vi phien vua dc duyet nhung sp sai thong tin dc ko",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"tôi muốn dừng phien trước thời gian kết thúc, khác với luồng hết giờ tự động chốt và settlement pls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"tôi muốn dừng phiên trước thời gian kết thúc, nếu đang anti-sniping thì cũng phải dừng an toàn đi, mình hơi rối vì màn hình không nói rõ bước tiếp theo.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Này ad, tôi muốn dừng phiên trước thời gian kết thúc và chatbot cần giải thích seller close khác timeout; nếu thiếu điều kiện thì báo rõ giúp mình được không.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Phiên có lỗi nên tôi cần đóng lại rồi tự động chốt phiên theo trạng thái hiện tại.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Admin ơi, phiên có lỗi nên tôi cần đóng lại nhưng không được xử lý tiền nếu là seller đóng sớm mình đang thao tác?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
phien co loi nen toi can dong lai va dua bidder ve lobby sau khi ket thuc vi minh chua ro luong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
phien có lỗi nên tôi cần đóng lại kèm thông báo trạng thái phiên cho mọi người nhé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"phiên có lỗi nên tôi cần đóng lại, sau khi kiểm tra lịch sử đặt giá hiện tại đi, mình hơi rối vì màn hình không nói rõ bước tiếp theo.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ê cho hỏi, phiên có lỗi nên tôi cần đóng lại, khi thời gian còn lại chưa về 0; nếu thiếu điều kiện thì báo rõ giúp mình vì mình chưa rõ luồng.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Seller đóng phiên thì hệ thống xử lý sao và khóa người mới không cho vào thêm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Help với, seller đóng phiên thì hệ thống xử lý sao rồi gửi message trong phòng để bidder biết để khỏi làm sai?",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"seller dong phien thi he thong xu ly sao, vi phien vua dc duyet nhung sp sai thong tin dc ko",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"seller đóng phien thì hệ thống xử lý sao, khác với luồng hết giờ tự động chốt và settlement pls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"seller đóng phiên thì hệ thống xử lý sao, nếu đang anti-sniping thì cũng phải dừng an toàn đi, mình hơi rối vì màn hình không nói rõ bước tiếp theo.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
