category,count,mean,std,min,25%,50%,75%,max
"Bất động sản, nhà đất & quyền thuê mặt bằng",260.0,7700098315.5008,7959301965.9957,160000000.0,1463438154.23,5466357524.79,12059768018.2375,57571423257.19
Chỗ ở tại địa điểm,140.0,80583977.8404,89770240.2171,980000.0,9800000.0,32250000.0,142828294.2275,277642875.22
"Công cụ, Dụng cụ cầm tay & Tự làm",180.0,11981897.8169,16073925.5764,720000.0,2201658.2975,5025000.0,17058932.8475,126566822.3
"Kỹ thuật, Gia công kim loại & Công nghiệp",200.0,937572363.699,1077513060.736,1450000.0,86000000.0,419884273.1,1720846717.705,6604146386.85
Nhà cửa & Vườn,180.0,14305671.6443,16723063.3631,520000.0,3573062.125,8013464.35,20526668.3125,159474251.72
Thiết bị chế biến gỗ,140.0,320785968.0346,400722025.0251,920000.0,29175000.0,186177379.23,520958201.4425,3177118442.68
"Thiết bị phòng tập thể dục, giải trí và làm đẹp chuyên nghiệp",160.0,125316710.8331,146078293.3795,820000.0,15454994.32,61646976.0,215134895.265,1070870560.4
Thiết bị phục vụ ăn uống,160.0,106723268.8019,197341561.7963,1850000.0,14425000.0,36586156.5,142950508.605,1237484302.5
Thiết bị y tế,160.0,225132959.4527,322321411.1348,650000.0,8750000.0,99637512.885,361032252.5025,3033870726.45
"Xây dựng, Nhà máy & Máy móc",220.0,834800867.0072,1208566844.5595,8500000.0,127500000.0,385000000.0,1411859279.89,14028901071.61
"Ô tô, xe máy và các phương tiện khác",200.0,356252793.9287,354240448.7442,1850000.0,69535073.815,313419232.03,553248528.6775,3193893635.79
