text,ĐĂNG KÝ TÀI KHOẢN,ĐĂNG NHẬP HỆ THỐNG,QUÊN MẬT KHẨU VÀ ĐẶT LẠI MẬT KHẨU,PHÂN QUYỀN NGƯỜI DÙNG,QUẢN LÝ SỐ DƯ TÀI KHOẢN,XEM DANH SÁCH PHIÊN ĐẤU GIÁ,XEM CHI TIẾT SẢN PHẨM ĐẤU GIÁ,THAM GIA PHÒNG ĐẤU GIÁ,RỜI PHÒNG ĐẤU GIÁ,ĐẶT GIÁ TRONG PHIÊN ĐẤU GIÁ,CẬP NHẬT GIÁ REALTIME,XEM LỊCH SỬ ĐẶT GIÁ,CHAT TRONG PHÒNG ĐẤU GIÁ,XEM THỜI GIAN CÒN LẠI CỦA PHIÊN,ANTI-SNIPING,KHÓA NGƯỜI THAM GIA MỚI Ở CUỐI PHIÊN,TỰ ĐỘNG CHỐT PHIÊN ĐẤU GIÁ,XỬ LÝ TIỀN KHI PHIÊN KẾT THÚC,TỰ ĐỘNG ĐƯA NGƯỜI DÙNG VỀ LOBBY,SELLER TẠO YÊU CẦU PHIÊN ĐẤU GIÁ,KIỂM TRA DỮ LIỆU TẠO PHIÊN ĐẤU GIÁ,YÊU CẦU DUYỆT PHIÊN ĐẤU GIÁ,SELLER ĐÓNG PHIÊN ĐẤU GIÁ,THÔNG BÁO TRẠNG THÁI PHIÊN,CHATBOT HỖ TRỢ NGƯỜI DÙNG,NGOÀI LỀ,CHỦ ĐỀ NGUY HIỂM,AI HỖ TRỢ AUTO APPROVE,Không Rõ
"Mình muốn xem số dư đặt giá 500k trước khi bid, nhưng mình định đặt giá thêm, rồi nếu hủy thì rollback số dư, nhưng bot phân tích lỗi đang gặp, kèm chuyện mã phòng AUC-1024, trước khi mức tiền 50k.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Admin ơi, mình muốn xem số dư đặt giá 500k trước khi bid, rồi người thắng bị trừ và seller được cộng mình đang thao tác?",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"m muon xem balance dat gia 500k truoc khi bid, roi refresh gia live giup m vi m chua ro luong",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn xem số dư đăt giá 500k trước khi bid, nhưng đang ở màn login đang cần xử lý liền",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn xem số dư đặt giá 500k trước khi bid, sau đó nâng thêm 100k được không đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ê cho hỏi, mình muốn xem số dư đặt giá 500k trước khi bid, trước khi tiền sau phiên phải xử lý đúng, rồi refresh giá live giúp mình; nếu thiếu điều kiện thì báo rõ giúp mình mình đang thao tác.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Mình muốn xem số dư đặt giá 500k có bị trừ chưa, trước khi cần xem giá cao nhất hiện tại.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Help với, mình muốn xem số dư đặt giá 500k có bị trừ chưa, trước khi trước đó tài khoản báo sai mật khẩu, nhưng mức tiền 5 triệu pls?",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m muon xem balance dat gia 500k co bi tru chua, sau do muon vuot nguoi dang dan de khoi lam sai",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn xem số dư đặt giá 500k có bị trừ chưa, sau đó kiểm tra luồng thanh toán cuối phien mình hơi rén",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"mình muốn xem số dư đặt giá 500k có bị trừ chưa, đồng thời giá realtime đang chưa đổi, rồi trước đó tài khoản báo sai mật khẩu đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Này ad, mình muốn xem số dư đặt giá 500k có bị trừ chưa, kèm chuyện sau khi đăng nhập thành công, trước khi mã phòng A17; nếu thiếu điều kiện thì báo rõ giúp mình pls.",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mình muốn xem số dư đặt giá 500k có bị cộng sai không, rồi đặt 500k nếu hợp lệ.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mình mới dùng app, mình muốn xem số dư đặt giá 500k có bị cộng sai không, nhưng đừng cộng trừ khi seller đóng sớm vì mình chưa rõ luồng?",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"m muon xem balance dat gia 500k co bi cong sai ko, dong thoi dang theo doi gia hien tai, kem chuyen muc tien +300k dang can xu ly lien",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn xem số dư đặt giá 500k có bị cộng sai khong, rồi mình vừa login xong, đồng thời đặt 500k nếu hợp lệ nhé",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn xem số dư đặt giá 500k có bị cộng sai không, đồng thời chuẩn bị bid mức mới đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Admin ơi, mình muốn xem số dư đặt giá 500k có bị cộng sai không, đồng thời nếu hủy thì rollback số dư, kèm chuyện bot phân tích lỗi đang gặp; nếu thiếu điều kiện thì báo rõ giúp mình vì mình chưa rõ luồng.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Mình muốn xem số dư đặt giá 500k đang hiển thị lạ, sau đó giá mới bị delay.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alo ad, mình muốn xem số dư đặt giá 500k đang hiển thị lạ, đồng thời nếu cần vào lại hệ thống để khỏi làm sai?",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m muon xem balance dat gia 500k dang hien thi la, sau do m dinh dat gia them, truoc khi neu huy thi rollback balance m hoi ren",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"mình muốn xem số dư đặt giá 500k đang hiển thị lạ, kèm chuyện người thắng bị trừ và seller được cộng, sau đó mức tiền +75k được khong",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"mình muốn xem số dư đặt giá 500k đang hiển thị lạ, kèm chuyện refresh giá live giúp mình, nhưng mã phòng SALA-05 đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Help với, mình muốn xem số dư đặt giá 500k đang hiển thị lạ, sau đó đang ở màn login; nếu thiếu điều kiện thì báo rõ giúp mình để khỏi làm sai.",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mình muốn xem số dư đặt giá 500k sau khi phiên kết thúc, nhưng nâng thêm 100k được không.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mình đang bị vướng, mình muốn xem số dư đặt giá 500k sau khi phiên kết thúc, đồng thời tiền sau phiên phải xử lý đúng, kèm chuyện refresh giá live giúp mình đang cần xử lý liền?",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"m muon xem balance dat gia 500k sau khi phien ket thuc, roi can xem gia cao nhat hien tai nhe",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn xem số dư đặt giá 500k sau khi phien kết thúc, rồi trước đó tài khoản báo sai mật khẩu mình đang thao tác",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn xem số dư đặt giá 500k sau khi phiên kết thúc, đồng thời muốn vượt người đang dẫn, đồng thời mức tiền 2.500.000 đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mình mới dùng app, mình muốn xem số dư đặt giá 500k sau khi phiên kết thúc, đồng thời kiểm tra luồng thanh toán cuối phiên; nếu thiếu điều kiện thì báo rõ giúp mình đang cần xử lý liền.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
