text,CHECK_BALANCE,ASK_BALANCE_DEFINITION,SEARCH_AUCTION,ASK_BID_GUIDE,CREATE_AUCTION_HELP,ASK_TIME_LEFT,UNKNOWN
kiểm tra số dư của tôi,1,0,0,0,0,0,0
tôi muốn xem số dư hiện tại,1,0,0,0,0,0,0
cho tôi biết tài khoản còn bao nhiêu tiền,1,0,0,0,0,0,0
số dư tài khoản của tôi là bao nhiêu,1,0,0,0,0,0,0
xem balance giúp tôi,1,0,0,0,0,0,0
số dư là gì,0,1,0,0,0,0,0
giải thích số dư tài khoản là gì,0,1,0,0,0,0,0
tôi muốn biết số dư nghĩa là gì,0,1,0,0,0,0,0
khái niệm số dư trong hệ thống là gì,0,1,0,0,0,0,0
số dư dùng để làm gì,0,1,0,0,0,0,0
tôi muốn biết số dư là gì và kiểm tra số dư,1,1,0,0,0,0,0
giải thích số dư rồi xem số dư hiện tại của tôi,1,1,0,0,0,0,0
số dư là gì của mình và kiểm tra số dư,1,1,0,0,0,0,0
tìm phiên đấu giá iphone,0,0,1,0,0,0,0
tôi muốn tìm các phiên đang đấu giá laptop,0,0,1,0,0,0,0
có phiên nào bán máy khoan makita không,0,0,1,0,0,0,0
xem danh sách đấu giá đang chạy,0,0,1,0,0,0,0
tìm sản phẩm đang được đấu giá,0,0,1,0,0,0,0
làm sao để đặt giá,0,0,0,1,0,0,0
hướng dẫn tôi bid,0,0,0,1,0,0,0
cách tham gia đặt giá là gì,0,0,0,1,0,0,0
tôi muốn biết cách đấu giá một sản phẩm,0,0,0,1,0,0,0
đặt giá như thế nào,0,0,0,1,0,0,0
làm sao để tạo phiên đấu giá,0,0,0,0,1,0,0
hướng dẫn tạo phiên bán hàng,0,0,0,0,1,0,0
tôi là seller muốn mở phiên đấu giá,0,0,0,0,1,0,0
cách đăng sản phẩm để đấu giá,0,0,0,0,1,0,0
mở phòng đấu giá mới như thế nào,0,0,0,0,1,0,0
phiên này còn bao lâu,0,0,0,0,0,1,0
kiểm tra thời gian còn lại của phiên,0,0,0,0,0,1,0
bao giờ phiên đấu giá kết thúc,0,0,0,0,0,1,0
xem countdown của phiên hiện tại,0,0,0,0,0,1,0
thời gian còn lại là bao nhiêu,0,0,0,0,0,1,0
tôi muốn tìm iphone và hỏi cách đặt giá,0,0,1,1,0,0,0
tìm laptop đang đấu giá và xem số dư của tôi,1,0,1,0,0,0,0
kiểm tra số dư rồi hướng dẫn tôi đặt giá,1,0,0,1,0,0,0
mở phiên đấu giá và cho tôi biết cách đăng sản phẩm,0,0,0,0,1,0,0
xem thời gian còn lại và hướng dẫn bid,0,0,0,1,0,1,0
hôm nay trời đẹp quá,0,0,0,0,0,0,1
xin chào bạn,0,0,0,0,0,0,1
bạn có khỏe không,0,0,0,0,0,0,1
nói gì đó vui đi,0,0,0,0,0,0,1
abc xyz không hiểu,0,0,0,0,0,0,1
