day_of_week,start_hour,0,1
0,0,2,0
0,1,2,0
0,2,6,1
0,3,4,0
0,4,2,0
0,5,1,0
0,6,3,3
0,7,5,0
0,8,13,11
0,9,18,14
0,10,20,13
0,11,10,12
0,12,7,6
0,13,4,12
0,14,5,4
0,15,7,9
0,16,8,6
0,17,2,4
0,18,3,6
0,19,4,3
0,20,3,5
0,21,5,1
0,22,0,3
0,23,5,0
1,0,1,0
1,1,1,1
1,2,3,0
1,3,2,0
1,4,1,0
1,6,1,1
1,7,7,5
1,8,6,5
1,9,21,20
1,10,28,12
1,11,10,10
1,12,8,4
1,13,5,6
1,14,4,7
1,15,4,3
1,16,9,8
1,17,8,10
1,18,8,16
1,19,5,3
1,20,9,9
1,21,3,2
1,22,2,2
1,23,6,0
2,0,3,0
2,1,4,0
2,2,0,1
2,3,3,1
2,4,3,0
2,5,3,0
2,6,1,2
2,7,7,3
2,8,7,15
2,9,25,4
2,10,25,16
2,11,16,8
2,12,9,6
2,13,6,9
2,14,6,11
2,15,7,11
2,16,11,7
2,17,7,2
2,18,9,10
2,19,7,7
2,20,7,5
2,21,8,6
2,22,6,4
2,23,4,0
3,0,3,0
3,1,2,0
3,2,3,0
3,3,2,0
3,4,2,0
3,5,5,0
3,6,2,2
3,7,6,3
3,8,7,6
3,9,13,7
3,10,10,11
3,11,12,5
3,12,7,6
3,13,10,11
3,14,10,9
3,15,9,12
3,16,10,7
3,17,8,6
3,18,11,13
3,19,2,4
3,20,8,8
3,21,4,2
3,22,1,4
3,23,4,0
4,0,2,0
4,1,3,0
4,2,1,0
4,3,2,0
4,4,1,0
4,5,3,0
4,6,2,0
4,7,12,5
4,8,5,16
4,9,9,8
4,10,14,12
4,11,10,2
4,12,9,7
4,13,7,17
4,14,10,18
4,15,7,8
4,16,7,11
4,17,10,5
4,18,5,10
4,19,5,8
4,20,3,7
4,21,8,5
4,22,4,2
4,23,1,0
5,0,6,0
5,1,3,0
5,2,1,0
5,3,4,1
5,4,2,0
5,5,3,0
5,6,6,0
5,7,7,5
5,8,6,12
5,9,10,8
5,10,6,7
5,11,11,4
5,12,3,7
5,13,5,7
5,14,5,16
5,15,14,10
5,16,6,3
5,17,13,15
5,18,12,13
5,19,12,15
5,20,6,12
5,21,8,2
5,22,3,0
5,23,1,0
6,0,3,0
6,1,4,0
6,2,5,0
6,3,2,0
6,4,3,0
6,5,2,0
6,6,3,3
6,7,5,6
6,8,8,9
6,9,7,7
6,10,6,7
6,11,12,6
6,12,6,4
6,13,10,6
6,14,9,7
6,15,5,11
6,16,13,9
6,17,12,8
6,18,10,24
6,19,16,18
6,20,19,9
6,21,10,5
6,22,2,7
6,23,4,0
