text,ĐĂNG KÝ TÀI KHOẢN,ĐĂNG NHẬP HỆ THỐNG,QUÊN MẬT KHẨU VÀ ĐẶT LẠI MẬT KHẨU,PHÂN QUYỀN NGƯỜI DÙNG,QUẢN LÝ SỐ DƯ TÀI KHOẢN,XEM DANH SÁCH PHIÊN ĐẤU GIÁ,XEM CHI TIẾT SẢN PHẨM ĐẤU GIÁ,THAM GIA PHÒNG ĐẤU GIÁ,RỜI PHÒNG ĐẤU GIÁ,ĐẶT GIÁ TRONG PHIÊN ĐẤU GIÁ,CẬP NHẬT GIÁ REALTIME,XEM LỊCH SỬ ĐẶT GIÁ,CHAT TRONG PHÒNG ĐẤU GIÁ,XEM THỜI GIAN CÒN LẠI CỦA PHIÊN,ANTI-SNIPING,KHÓA NGƯỜI THAM GIA MỚI Ở CUỐI PHIÊN,TỰ ĐỘNG CHỐT PHIÊN ĐẤU GIÁ,XỬ LÝ TIỀN KHI PHIÊN KẾT THÚC,TỰ ĐỘNG ĐƯA NGƯỜI DÙNG VỀ LOBBY,SELLER TẠO YÊU CẦU PHIÊN ĐẤU GIÁ,KIỂM TRA DỮ LIỆU TẠO PHIÊN ĐẤU GIÁ,YÊU CẦU DUYỆT PHIÊN ĐẤU GIÁ,SELLER ĐÓNG PHIÊN ĐẤU GIÁ,THÔNG BÁO TRẠNG THÁI PHIÊN,CHATBOT HỖ TRỢ NGƯỜI DÙNG,NGOÀI LỀ,CHỦ ĐỀ NGUY HIỂM,AI HỖ TRỢ AUTO APPROVE,Không Rõ
"Viết giúp mình một bài thơ tình không liên quan đấu giá, trước khi nhờ chatbot giải thích thêm, đồng thời gửi tin cho mọi người trong phiên, rồi mã phòng AUC-1024.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Admin ơi, viết giúp mình một bài thơ tình không liên quan đấu giá, kèm chuyện khung chat phòng chưa hiện mình đang thao tác?",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"viet giup m mot bai tho tinh ko lien quan dg, dong thoi can bot hoi lai cho chac vi m chua ro luong",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"viết giúp mình một bài thơ tình không liên quan đấu gía, rồi chatbot nói dễ hiểu giúp mình đang cần xử lý liền",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"viết giúp mình một bài thơ tình không liên quan đấu giá, rồi đừng gửi ra ngoài lobby đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ê cho hỏi, viết giúp mình một bài thơ tình không liên quan đấu giá, trước khi mình nói hơi thiếu ngữ cảnh; nếu thiếu điều kiện thì báo rõ giúp mình mình đang thao tác.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Viết giúp mình một bài thơ tình nhanh nha, kèm chuyện bot hướng dẫn bước tiếp theo.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Help với, viết giúp mình một bài thơ tình nhanh nha, nhưng gửi tin cho mọi người trong phiên pls?",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"viet giup m mot bai tho tinh nhanh nha, truoc khi cau nay hoi mo ho de khoi lam sai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"viết giúp mình một bài thơ tình nhanh nha, đồng thời bot phân tích lỗi đang gặp mình hơi rén",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"viết giúp mình một bài thơ tình nhanh nha, sau đó mình muốn nhắn trong chat room, trước khi trợ lý ảo trả lời ngắn gọn đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Này ad, viết giúp mình một bài thơ tình nhanh nha, sau đó chưa rõ đang hỏi chức năng nào, nhưng mã phòng A17; nếu thiếu điều kiện thì báo rõ giúp mình pls.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Viết giúp mình một bài thơ tình cho vui thôi, trước khi trợ lý ảo trả lời ngắn gọn.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Mình mới dùng app, viết giúp mình một bài thơ tình cho vui thôi, trước khi chat hỏi thêm thông tin món hàng vì mình chưa rõ luồng?",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"viet giup m mot bai tho tinh cho vui thoi, kem chuyen ko du du kien de xu ly thang dang can xu ly lien",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"viết giúp mình một bài thơ tình cho vui thôi, sau đó nhờ chatbot giải thích thêm, sau đó gửi tin cho mọi người trong phien nhé",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"viết giúp mình một bài thơ tình cho vui thôi, trước khi khung chat phòng chưa hiện đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Admin ơi, viết giúp mình một bài thơ tình cho vui thôi, nhưng cần bot hỏi lại cho chắc; nếu thiếu điều kiện thì báo rõ giúp mình vì mình chưa rõ luồng.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Viết giúp mình một bài thơ tình vì mình đang chán, rồi chatbot nói dễ hiểu giúp mình.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Alo ad, viết giúp mình một bài thơ tình vì mình đang chán, rồi đừng gửi ra ngoài lobby để khỏi làm sai?",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"viet giup m mot bai tho tinh vi m dang chan, truoc khi m noi hoi thieu ngu canh m hoi ren",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"viết giúp mình một bài thơ tình vì mình đang chán, sau đó bot hướng dẫn bước tiếp theo được khong",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"viết giúp mình một bài thơ tình vì mình đang chán, trước khi gửi tin cho mọi người trong phiên, nhưng mã phòng SALA-05 đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Help với, viết giúp mình một bài thơ tình vì mình đang chán, rồi câu này hơi mơ hồ; nếu thiếu điều kiện thì báo rõ giúp mình để khỏi làm sai.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Viết giúp mình một bài thơ tình bằng giọng Gen Z, nhưng bot phân tích lỗi đang gặp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Mình đang bị vướng, viết giúp mình một bài thơ tình bằng giọng Gen Z, rồi mình muốn nhắn trong chat room, nhưng trợ lý ảo trả lời ngắn gọn đang cần xử lý liền?",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"viet giup m mot bai tho tinh bang giong gen z, roi chua ro dang hoi chuc nang nao nhe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"viết giúp mình một bài thơ tình bằng giọng Gen Z, nhưng trợ lý ảo trả lời ngắn gọn mình đang thao tác",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"viết giúp mình một bài thơ tình bằng giọng Gen Z, nhưng chat hỏi thêm thông tin món hàng đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Mình mới dùng app, viết giúp mình một bài thơ tình bằng giọng Gen Z, đồng thời không đủ dữ kiện để xử lý thẳng; nếu thiếu điều kiện thì báo rõ giúp mình đang cần xử lý liền.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Viết giúp mình thời tiết Hà Nội không liên quan đấu giá, trước khi nhờ chatbot giải thích thêm, đồng thời gửi tin cho mọi người trong phiên.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Cứu mình với, viết giúp mình thời tiết Hà Nội không liên quan đấu giá, kèm chuyện khung chat phòng chưa hiện mình hơi rén?",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"viet giup m thoi tiet ha noi ko lien quan dg, dong thoi can bot hoi lai cho chac dc ko",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"viết giúp mình thời tiết Hà Nội không liên quan đấu gía, rồi chatbot nói dễ hiểu giúp mình, trước khi mã phòng ROOM-88 pls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"viết giúp mình thời tiết Hà Nội không liên quan đấu giá, rồi đừng gửi ra ngoài lobby đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Alo ad, viết giúp mình thời tiết Hà Nội không liên quan đấu giá, trước khi mình nói hơi thiếu ngữ cảnh; nếu thiếu điều kiện thì báo rõ giúp mình mình hơi rén.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Viết giúp mình thời tiết Hà Nội nhanh nha, kèm chuyện bot hướng dẫn bước tiếp theo.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Ê cho hỏi, viết giúp mình thời tiết Hà Nội nhanh nha, nhưng gửi tin cho mọi người trong phiên nhé?",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"viet giup m thoi tiet ha noi nhanh nha, truoc khi cau nay hoi mo ho m dang thao tac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"viết giúp mình thời tiết Hà Nội nhanh nha, đồng thời bot phân tích lỗi đang gặp vì mình chưa rõ luồng",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"viết giúp mình thời tiết Hà Nội nhanh nha, sau đó mình muốn nhắn trong chat room, trước khi trợ lý ảo trả lời ngắn gọn đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Mình đang bị vướng, viết giúp mình thời tiết Hà Nội nhanh nha, sau đó chưa rõ đang hỏi chức năng nào; nếu thiếu điều kiện thì báo rõ giúp mình nhé.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Viết giúp mình thời tiết Hà Nội cho vui thôi, trước khi trợ lý ảo trả lời ngắn gọn.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Này ad, viết giúp mình thời tiết Hà Nội cho vui thôi, trước khi chat hỏi thêm thông tin món hàng được không?",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"viet giup m thoi tiet ha noi cho vui thoi, kem chuyen ko du du kien de xu ly thang, dong thoi ma room bid-09 pls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"viết giúp mình thời tiết Hà Nội cho vui thôi, sau đó nhờ chatbot giải thích thêm, sau đó gửi tin cho mọi người trong phien để khỏi làm sai",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"viết giúp mình thời tiết Hà Nội cho vui thôi, trước khi khung chat phòng chưa hiện đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cứu mình với, viết giúp mình thời tiết Hà Nội cho vui thôi, nhưng cần bot hỏi lại cho chắc; nếu thiếu điều kiện thì báo rõ giúp mình được không.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Viết giúp mình thời tiết Hà Nội vì mình đang chán, rồi chatbot nói dễ hiểu giúp mình.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Admin ơi, viết giúp mình thời tiết Hà Nội vì mình đang chán, rồi đừng gửi ra ngoài lobby mình đang thao tác?",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"viet giup m thoi tiet ha noi vi m dang chan, truoc khi m noi hoi thieu ngu canh vi m chua ro luong",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"viết giúp mình thời tiết Hà Nội vì mình đang chán, sau đó bot hướng dẫn bước tiếp theo đang cần xử lý liền",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
