text,ĐĂNG KÝ TÀI KHOẢN,ĐĂNG NHẬP HỆ THỐNG,QUÊN MẬT KHẨU VÀ ĐẶT LẠI MẬT KHẨU,PHÂN QUYỀN NGƯỜI DÙNG,QUẢN LÝ SỐ DƯ TÀI KHOẢN,XEM DANH SÁCH PHIÊN ĐẤU GIÁ,XEM CHI TIẾT SẢN PHẨM ĐẤU GIÁ,THAM GIA PHÒNG ĐẤU GIÁ,RỜI PHÒNG ĐẤU GIÁ,ĐẶT GIÁ TRONG PHIÊN ĐẤU GIÁ,CẬP NHẬT GIÁ REALTIME,XEM LỊCH SỬ ĐẶT GIÁ,CHAT TRONG PHÒNG ĐẤU GIÁ,XEM THỜI GIAN CÒN LẠI CỦA PHIÊN,ANTI-SNIPING,KHÓA NGƯỜI THAM GIA MỚI Ở CUỐI PHIÊN,TỰ ĐỘNG CHỐT PHIÊN ĐẤU GIÁ,XỬ LÝ TIỀN KHI PHIÊN KẾT THÚC,TỰ ĐỘNG ĐƯA NGƯỜI DÙNG VỀ LOBBY,SELLER TẠO YÊU CẦU PHIÊN ĐẤU GIÁ,KIỂM TRA DỮ LIỆU TẠO PHIÊN ĐẤU GIÁ,YÊU CẦU DUYỆT PHIÊN ĐẤU GIÁ,SELLER ĐÓNG PHIÊN ĐẤU GIÁ,THÔNG BÁO TRẠNG THÁI PHIÊN,CHATBOT HỖ TRỢ NGƯỜI DÙNG,NGOÀI LỀ,CHỦ ĐỀ NGUY HIỂM,AI HỖ TRỢ AUTO APPROVE,Không Rõ
"Hệ thống có tự cộng giờ không khi người khác bid phút chót cho sản phẩm này, trước khi xem countdown còn bao lâu, sau đó đặt 500k nếu hợp lệ, trước khi bot phân tích lỗi đang gặp, kèm chuyện mã phòng AUC-1024, trước khi 30 giây cuối.",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Admin ơi, hệ thống có tự cộng giờ không khi người khác bid phút chót cho sản phẩm này, sau đó chuẩn bị bid mức mới mình đang thao tác?",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"he thong co tu cong gio ko khi nguoi khac bid phut chot cho sp nay, sau do refresh gia live giup m vi m chua ro luong",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hệ thống có tự cộng giờ không khi người khác bid phút chót cho sản phẩm này, kèm chuyện phien tự kết thúc sau deadline đang cần xử lý liền",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"hệ thống có tự cộng giờ không khi người khác bid phút chót cho sản phẩm này, kèm chuyện còn mấy giây để thao tác đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ê cho hỏi, hệ thống có tự cộng giờ không khi người khác bid phút chót cho sản phẩm này, đồng thời mình định đặt giá thêm, kèm chuyện refresh giá live giúp mình; nếu thiếu điều kiện thì báo rõ giúp mình mình đang thao tác.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hệ thống có tự cộng giờ không khi người khác bid phút chót trong room hiện tại, sau đó cần xem giá cao nhất hiện tại.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Help với, hệ thống có tự cộng giờ không khi người khác bid phút chót trong room hiện tại, đồng thời không cần seller bấm đóng pls?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"he thong co tu cong gio ko khi nguoi khac bid phut chot trong room hien tai, kem chuyen check deadline cua phien, truoc khi 30 giay cuoi de khoi lam sai",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hệ thống có tự cộng giờ khong khi người khác bid phút chót trong room hiện tại, đồng thời nâng thêm 100k được không mình hơi rén",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
