text,EXPLAIN_BALANCE,GUIDE_SEARCH_AUCTION,GUIDE_BIDDING,GUIDE_CREATE_AUCTION,GUIDE_CHECK_TIME_LEFT,UNKNOWN
số dư là gì,1,0,0,0,0,0
giải thích số dư tài khoản là gì,1,0,0,0,0,0
tôi muốn biết số dư nghĩa là gì,1,0,0,0,0,0
khái niệm số dư trong hệ thống là gì,1,0,0,0,0,0
số dư dùng để làm gì,1,0,0,0,0,0
số dư trong đấu giá có tác dụng gì,1,0,0,0,0,0
tìm phiên đấu giá iphone,0,1,0,0,0,0
tôi muốn tìm các phiên đang đấu giá laptop,0,1,0,0,0,0
có phiên nào bán máy khoan makita không,0,1,0,0,0,0
xem danh sách đấu giá đang chạy,0,1,0,0,0,0
tìm sản phẩm đang được đấu giá,0,1,0,0,0,0
hướng dẫn tìm phiên đấu giá,0,1,0,0,0,0
làm sao để đặt giá,0,0,1,0,0,0
hướng dẫn tôi bid,0,0,1,0,0,0
cách tham gia đặt giá là gì,0,0,1,0,0,0
tôi muốn biết cách đấu giá một sản phẩm,0,0,1,0,0,0
đặt giá như thế nào,0,0,1,0,0,0
hướng dẫn cách tham gia đấu giá,0,0,1,0,0,0
làm sao để tạo phiên đấu giá,0,0,0,1,0,0
hướng dẫn tạo phiên bán hàng,0,0,0,1,0,0
tôi là seller muốn mở phiên đấu giá,0,0,0,1,0,0
cách đăng sản phẩm để đấu giá,0,0,0,1,0,0
mở phòng đấu giá mới như thế nào,0,0,0,1,0,0
hướng dẫn seller tạo phiên,0,0,0,1,0,0
phiên này còn bao lâu,0,0,0,0,1,0
kiểm tra thời gian còn lại của phiên,0,0,0,0,1,0
bao giờ phiên đấu giá kết thúc,0,0,0,0,1,0
xem countdown của phiên hiện tại,0,0,0,0,1,0
thời gian còn lại là bao nhiêu,0,0,0,0,1,0
hướng dẫn xem thời gian còn lại của phiên,0,0,0,0,1,0
tôi muốn tìm iphone và hỏi cách đặt giá,0,1,1,0,0,0
giải thích số dư rồi hướng dẫn tôi đặt giá,1,0,1,0,0,0
mở phiên đấu giá và cho tôi biết cách đăng sản phẩm,0,0,0,1,0,0
xem thời gian còn lại và hướng dẫn bid,0,0,1,0,1,0
tìm laptop đang đấu giá và hướng dẫn đặt giá,0,1,1,0,0,0
kiểm tra số dư của tôi,0,0,0,0,0,1
tài khoản tôi còn bao nhiêu tiền,0,0,0,0,0,1
cho tôi biết số dư hiện tại,0,0,0,0,0,1
hôm nay trời đẹp quá,0,0,0,0,0,1
xin chào bạn,0,0,0,0,0,1
bạn có khỏe không,0,0,0,0,0,1
nói gì đó vui đi,0,0,0,0,0,1
abc xyz không hiểu,0,0,0,0,0,1
