title,organization,description,seller_rating,seller_completed_rating,seller_cancel_rate,minimum_join_amount,bid_step,start_price,start_price_log,duration_minutes,extension_seconds,start_hour,day_of_week,is_weekend,targeted_risk_type,description_style,review_status,auto_approve
Máy cưa đĩa DeWalt DWE560 - có ảnh thật,Garage Hoàng Gia,"Máy cưa đĩa DeWalt DWE560 - có ảnh thật do Garage Hoàng Gia đăng đấu giá. Thông tin nghe tích cực nhưng chưa nêu rõ pin, sạc hoặc phụ kiện chính còn đủ hay không. Người xem được hẹn ở khung 22h, thông tin này chỉ dùng để đối chiếu thêm. Nội dung này giữ văn phong nghiêm túc nhưng vẫn theo đúng trạng thái xét duyệt của mẫu.",4.25,0.84,0.03,675000.0,225000.0,11250069.6,16.235885,120,30,22,2,0,document_risk,professional,manual_review,0
Bơm thủy lực công trình - hồ sơ kèm theo,Cửa hàng Minh Phát,"bơm thủy lực công trình - hồ sơ kèm theo còn chạy, test tại xưởng được, phụ kiện chính để cùng máy. hơi bụi do để kho nhưng thông số chính có đủ. Tuy nhiên phiên này chuyển manual_review vì chỉ số hoàn tất hoặc lịch sử giao dịch của người bán chưa đủ chắc; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 9h ngày 2.",4.23,0.87,0.03,65333000.0,28000000.0,933326207.41,20.654265,180,30,9,2,0,seller_risk,casual,manual_review,0
Giường bệnh điện 3 chức năng - full bộ,Phòng vật tư thanh lý,"Giường bệnh điện 3 chức năng - full bộ được mô tả còn hoạt động và có thể kiểm tra tại đơn vị bán. Bài đăng nêu tình trạng thiết bị, phụ kiện chính và phạm vi bàn giao. Một số thông tin chuyên môn như kiểm định, hiệu chuẩn, nguồn gốc hoặc điều kiện sử dụng chưa đủ rõ. Thiết bị thuộc nhóm cần kiểm tra thận trọng trước khi cho tự động duyệt. Một vài chi tiết chỉ được xác nhận khi xem trực tiếp.",4.27,0.86,0.05,25195000.0,12598000.0,314938515.31,19.567888,240,60,14,1,0,condition_unclear,legal,manual_review,0
Bộ súng bắn ốc Milwaukee M18 - có ảnh thật,Công ty TNHH An Phú,"Bộ súng bắn ốc Milwaukee M18 - có ảnh thật có mô tả tương đối đầy đủ về tình trạng và cách xem hàng. Dù vậy số lượng phụ kiện, kích thước hoặc phạm vi bàn giao vẫn chưa rõ ở vài điểm quan trọng. phần bàn giao cuối cùng chưa được liệt kê thành danh mục riêng.",4.28,0.87,0.06,577000.0,320000.0,6406846.15,15.672878,360,90,20,5,1,missing_information,professional,manual_review,0
Kia K3 2021 - full bộ,Xưởng cơ khí Thành Công,"sedan gia đình, bảo dưỡng định kỳ, có sổ theo dõi, dang de kho, ai can ib truoc, co test nguon roi, xem ok thi dat gia Tuy nhiên phiên này chuyển manual_review vì tỷ lệ tiền tham gia hoặc bước giá chưa hợp lý so với giá khởi điểm; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 12h ngày 5.",3.95,0.69,0.15,19337695.97,60639464.13,759600836.17,20.448304,360,20,12,5,1,price_anomaly,messy,manual_review,0
Toyota Vios 2019,Kho thiết bị Bình An,"Toyota Vios 2019 còn dùng ok ok, ai cần xem trực tiếp, đồ đúng như hình. Người bán ghi rõ đời xe, tình trạng vỏ ngoài và phần bảo dưỡng gần nhất để người tham gia tự đối chiếu. Mức cọc 18.246.000 và bước giá 6.082.000 đã được ghi riêng trong phiên. Tuy nhiên phiên này chuyển manual_review vì hồ sơ, thông số vận hành hoặc phạm vi bàn giao chưa đủ để tự động duyệt; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 0h ngày 5.",4.27,0.91,0.07,18246000.0,6082000.0,304105729.73,19.532886,120,30,0,5,1,document_risk,spam,manual_review,0
Giường spa điện 3 motor - hồ sơ kèm theo,Xưởng cơ khí Thành Công,"giường spa điện 3 motor - hồ sơ kèm theo còn dùng tốt, tình trạng rõ, phụ kiện chính đủ. viết nhanh hơi lộn xộn nhưng xem là kiểm được ngay. Tuy nhiên phiên này chuyển manual_review vì một phần thông tin cốt lõi vẫn cần admin xác nhận; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 6h ngày 5.",4.28,0.92,0.02,31910000.0,13676000.0,455850624.56,19.937676,180,45,6,5,1,missing_information,messy,manual_review,0
Máy nén khí Atlas Copco GA37,Garage Hoàng Gia,"máy nén khí trục vít, công suất 37kw, có lịch bảo trì nội bộ, co gi nhan minh gui them anh, xem ok thi dat gia, lay tai kho, may chay deu, co video ngan Tuy nhiên phiên này chuyển manual_review vì hồ sơ, thông số vận hành hoặc phạm vi bàn giao chưa đủ để tự động duyệt; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 14h ngày 0.",4.31,0.93,0.04,99325885.36,76731431.56,975575133.53,20.698538,120,60,14,0,0,document_risk,messy,manual_review,0
Máy cắt cỏ Husqvarna LC140,Phòng thiết bị bệnh viện tư,"Máy cắt cỏ Husqvarna LC140 còn dùng ok ok, ai cần xem trực tiếp, đồ đúng như hình. Người đăng mô tả rõ tình trạng sử dụng, có hẹn xem tại nhà trong khung giờ đấu giá. Giá khởi điểm 42.264.023 được giữ lại để so với mặt bằng cùng nhóm. Tuy nhiên phiên này chuyển manual_review vì một phần thông tin cốt lõi vẫn cần admin xác nhận; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 12h ngày 6.",4.3,0.94,0.04,3804000.0,2113000.0,42264023.43,17.559447,360,20,12,6,1,missing_information,spam,manual_review,0
Nhà xưởng khu công nghiệp - hồ sơ kèm theo,Kho thiết bị Bình An,"nhà xưởng khu công nghiệp - hồ sơ kèm theo giấy tờ có sẵn, diện tích ghi rõ, hợp đồng và điều kiện bàn giao xem tại văn phòng. viết hơi gấp nhưng đủ thông tin chính. Tuy nhiên phiên này chuyển manual_review vì chỉ số hoàn tất hoặc lịch sử giao dịch của người bán chưa đủ chắc; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 7h ngày 5.",4.31,0.86,0.05,1285616000.0,771370000.0,12856162447.52,23.277089,720,30,7,5,1,seller_risk,messy,manual_review,0
