text,ĐĂNG KÝ TÀI KHOẢN,ĐĂNG NHẬP HỆ THỐNG,QUÊN MẬT KHẨU VÀ ĐẶT LẠI MẬT KHẨU,PHÂN QUYỀN NGƯỜI DÙNG,QUẢN LÝ SỐ DƯ TÀI KHOẢN,XEM DANH SÁCH PHIÊN ĐẤU GIÁ,XEM CHI TIẾT SẢN PHẨM ĐẤU GIÁ,THAM GIA PHÒNG ĐẤU GIÁ,RỜI PHÒNG ĐẤU GIÁ,ĐẶT GIÁ TRONG PHIÊN ĐẤU GIÁ,CẬP NHẬT GIÁ REALTIME,XEM LỊCH SỬ ĐẶT GIÁ,CHAT TRONG PHÒNG ĐẤU GIÁ,XEM THỜI GIAN CÒN LẠI CỦA PHIÊN,ANTI-SNIPING,KHÓA NGƯỜI THAM GIA MỚI Ở CUỐI PHIÊN,TỰ ĐỘNG CHỐT PHIÊN ĐẤU GIÁ,XỬ LÝ TIỀN KHI PHIÊN KẾT THÚC,TỰ ĐỘNG ĐƯA NGƯỜI DÙNG VỀ LOBBY,SELLER TẠO YÊU CẦU PHIÊN ĐẤU GIÁ,KIỂM TRA DỮ LIỆU TẠO PHIÊN ĐẤU GIÁ,YÊU CẦU DUYỆT PHIÊN ĐẤU GIÁ,SELLER ĐÓNG PHIÊN ĐẤU GIÁ,THÔNG BÁO TRẠNG THÁI PHIÊN,CHATBOT HỖ TRỢ NGƯỜI DÙNG,NGOÀI LỀ,CHỦ ĐỀ NGUY HIỂM,AI HỖ TRỢ AUTO APPROVE,Không Rõ
"Mình muốn rời phòng phiên này mà không mất dữ liệu, kèm chuyện để mình vào phòng đấu giá, rồi app tự chuyển về danh sách phiên, nhưng bot phân tích lỗi đang gặp, kèm chuyện mã phòng AUC-1024.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Admin ơi, mình muốn rời phòng phiên này mà không mất dữ liệu, đồng thời mình bị đẩy khỏi phòng về màn chính mình đang thao tác?",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"m muon roi room phien nay ma ko mat du lieu, dong thoi o lobby co nhieu card auction vi m chua ro luong",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng phien này mà không mất dữ liệu, trước khi chat hỏi thêm thông tin món hàng đang cần xử lý liền",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng phiên này mà không mất dữ liệu, đồng thời cần nhập mã phòng trước đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ê cho hỏi, mình muốn rời phòng phiên này mà không mất dữ liệu, đồng thời sau khi kết thúc thì về lobby, rồi ở lobby có nhiều card auction; nếu thiếu điều kiện thì báo rõ giúp mình mình đang thao tác.",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mình muốn rời phòng phiên này trước khi hết giờ, trước khi xem thêm các phiên khác.",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Help với, mình muốn rời phòng phiên này trước khi hết giờ, nhưng gửi tin cho mọi người trong phiên pls?",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m muon roi room phien nay truoc khi het gio, nhung vao room hien tai giup m de khoi lam sai",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng phien này trước khi hết giờ, trước khi đừng kẹt ở màn phiên cũ mình hơi rén",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng phiên này trước khi hết giờ, kèm chuyện mình muốn quay lại danh sách phiên, đồng thời gửi tin cho mọi người trong phiên đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Này ad, mình muốn rời phòng phiên này trước khi hết giờ, đồng thời khung chat phòng chưa hiện, đồng thời mã phòng A17; nếu thiếu điều kiện thì báo rõ giúp mình pls.",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mình muốn rời phòng phiên này vì không muốn đặt nữa, sau đó nút tham gia phòng đang mờ.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mình mới dùng app, mình muốn rời phòng phiên này vì không muốn đặt nữa, rồi room đóng nên quay về lobby vì mình chưa rõ luồng?",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"m muon roi room phien nay vi ko muon dat nua, kem chuyen danh sach ngoai main lobby chua hien dang can xu ly lien",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng phien này vì không muốn đặt nữa, kèm chuyện mình muốn nhắn trong chat room, rồi nút tham gia phòng đang mờ nhé",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng phiên này vì không muốn đặt nữa, kèm chuyện mình đang muốn join room đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Admin ơi, mình muốn rời phòng phiên này vì không muốn đặt nữa, sau đó app tự chuyển về danh sách phiên, trước khi bot phân tích lỗi đang gặp; nếu thiếu điều kiện thì báo rõ giúp mình vì mình chưa rõ luồng.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Mình muốn rời phòng phiên này nhưng vẫn giữ tài khoản, nhưng lọc phiên đang mở giúp mình.",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alo ad, mình muốn rời phòng phiên này nhưng vẫn giữ tài khoản, trước khi đừng gửi ra ngoài lobby để khỏi làm sai?",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m muon roi room phien nay nhung van giu tk, roi de m vao room dg, nhung app tu chuyen ve danh sach phien m hoi ren",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng phien này nhưng vẫn giữ tài khoản, trước khi mình bị đẩy khỏi phòng về màn chính được không",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng phiên này nhưng vẫn giữ tài khoản, trước khi ở lobby có nhiều card auction, nhưng mã phòng SALA-05 đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Help với, mình muốn rời phòng phiên này nhưng vẫn giữ tài khoản, đồng thời chat hỏi thêm thông tin món hàng; nếu thiếu điều kiện thì báo rõ giúp mình để khỏi làm sai.",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mình muốn rời phòng phiên này sau khi xem xong, kèm chuyện cần nhập mã phòng trước.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mình đang bị vướng, mình muốn rời phòng phiên này sau khi xem xong, kèm chuyện sau khi kết thúc thì về lobby, kèm chuyện ở lobby có nhiều card auction đang cần xử lý liền?",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"m muon roi room phien nay sau khi xem xong, kem chuyen xem them cac phien khac nhe",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng phien này sau khi xem xong, đồng thời gửi tin cho mọi người trong phiên mình đang thao tác",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng phiên này sau khi xem xong, đồng thời vào room hiện tại giúp mình đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mình mới dùng app, mình muốn rời phòng phiên này sau khi xem xong, kèm chuyện đừng kẹt ở màn phiên cũ; nếu thiếu điều kiện thì báo rõ giúp mình đang cần xử lý liền.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mình muốn rời phòng room AUC-1024 mà không mất dữ liệu, trước khi mình muốn quay lại danh sách phiên, đồng thời gửi tin cho mọi người trong phiên.",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cứu mình với, mình muốn rời phòng room AUC-1024 mà không mất dữ liệu, nhưng khung chat phòng chưa hiện mình hơi rén?",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m muon roi room room auc-1024 ma ko mat du lieu, nhung nut tham gia room dang mo dc ko",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng room AUC-1024 mà khong mất dữ liệu, kèm chuyện room đóng nên quay về lobby, nhưng mã phòng ROOM-88 pls",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng room AUC-1024 mà không mất dữ liệu, rồi danh sách ngoài main lobby chưa hiện, trước khi bot hướng dẫn bước tiếp theo đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Alo ad, mình muốn rời phòng room AUC-1024 mà không mất dữ liệu, rồi mình muốn nhắn trong chat room, nhưng nút tham gia phòng đang mờ; nếu thiếu điều kiện thì báo rõ giúp mình mình hơi rén.",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mình muốn rời phòng room AUC-1024 trước khi hết giờ, kèm chuyện mình đang muốn join room.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ê cho hỏi, mình muốn rời phòng room AUC-1024 trước khi hết giờ, sau đó app tự chuyển về danh sách phiên nhé?",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"m muon roi room room auc-1024 truoc khi het gio, roi loc phien dang mo giup m m dang thao tac",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòg room AUC-1024 trước khi hết giờ, nhưng đừng gửi ra ngoài lobby vì mình chưa rõ luồng",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng room AUC-1024 trước khi hết giờ, trước khi để mình vào phòng đấu giá, rồi app tự chuyển về danh sách phiên đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mình đang bị vướng, mình muốn rời phòng room AUC-1024 trước khi hết giờ, nhưng mình bị đẩy khỏi phòng về màn chính; nếu thiếu điều kiện thì báo rõ giúp mình nhé.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mình muốn rời phòng room AUC-1024 vì không muốn đặt nữa, rồi ở lobby có nhiều card auction.",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Này ad, mình muốn rời phòng room AUC-1024 vì không muốn đặt nữa, kèm chuyện chat hỏi thêm thông tin món hàng được không?",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m muon roi room room auc-1024 vi ko muon dat nua, roi can nhap ma room truoc, kem chuyen ma room bid-09 pls",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng room AUC-1024 vì khong muốn đặt nữa, rồi sau khi kết thúc thì về lobby, sau đó ở lobby có nhiều card auction để khỏi làm sai",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng room AUC-1024 vì không muốn đặt nữa, rồi xem thêm các phiên khác đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cứu mình với, mình muốn rời phòng room AUC-1024 vì không muốn đặt nữa, trước khi gửi tin cho mọi người trong phiên; nếu thiếu điều kiện thì báo rõ giúp mình được không.",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mình muốn rời phòng room AUC-1024 nhưng vẫn giữ tài khoản, rồi vào room hiện tại giúp mình.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Admin ơi, mình muốn rời phòng room AUC-1024 nhưng vẫn giữ tài khoản, nhưng đừng kẹt ở màn phiên cũ mình đang thao tác?",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"m muon roi room room auc-1024 nhung van giu tk, dong thoi m muon quay lai danh sach phien, truoc khi gui tin cho moi nguoi trong phien vi m chua ro luong",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng room AUC-1024 nhưng vẫn giữ tài khoàn, sau đó khung chat phòng chưa hiện, đồng thời chatbot nói dễ hiểu giúp mình đang cần xử lý liền",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"mình muốn rời phòng room AUC-1024 nhưng vẫn giữ tài khoản, sau đó nút tham gia phòng đang mờ đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ê cho hỏi, mình muốn rời phòng room AUC-1024 nhưng vẫn giữ tài khoản, rồi room đóng nên quay về lobby; nếu thiếu điều kiện thì báo rõ giúp mình mình đang thao tác.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mình muốn rời phòng room AUC-1024 sau khi xem xong, nhưng danh sách ngoài main lobby chưa hiện.",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Help với, mình muốn rời phòng room AUC-1024 sau khi xem xong, nhưng mình muốn nhắn trong chat room, rồi nút tham gia phòng đang mờ, trước khi mã phòng GOLD-21 pls?",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m muon roi room room auc-1024 sau khi xem xong, nhung m dang muon join room de khoi lam sai",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng room AUC-1024 sau khi xem xong, trước khi app tự chuyển về danh sách phien mình hơi rén",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"mình muốn rời phòng room AUC-1024 sau khi xem xong, sau đó lọc phiên đang mở giúp mình đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Này ad, mình muốn rời phòng room AUC-1024 sau khi xem xong, đồng thời đừng gửi ra ngoài lobby; nếu thiếu điều kiện thì báo rõ giúp mình pls.",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
