text,ĐĂNG KÝ TÀI KHOẢN,ĐĂNG NHẬP HỆ THỐNG,QUÊN MẬT KHẨU VÀ ĐẶT LẠI MẬT KHẨU,PHÂN QUYỀN NGƯỜI DÙNG,QUẢN LÝ SỐ DƯ TÀI KHOẢN,XEM DANH SÁCH PHIÊN ĐẤU GIÁ,XEM CHI TIẾT SẢN PHẨM ĐẤU GIÁ,THAM GIA PHÒNG ĐẤU GIÁ,RỜI PHÒNG ĐẤU GIÁ,ĐẶT GIÁ TRONG PHIÊN ĐẤU GIÁ,CẬP NHẬT GIÁ REALTIME,XEM LỊCH SỬ ĐẶT GIÁ,CHAT TRONG PHÒNG ĐẤU GIÁ,XEM THỜI GIAN CÒN LẠI CỦA PHIÊN,ANTI-SNIPING,KHÓA NGƯỜI THAM GIA MỚI Ở CUỐI PHIÊN,TỰ ĐỘNG CHỐT PHIÊN ĐẤU GIÁ,XỬ LÝ TIỀN KHI PHIÊN KẾT THÚC,TỰ ĐỘNG ĐƯA NGƯỜI DÙNG VỀ LOBBY,SELLER TẠO YÊU CẦU PHIÊN ĐẤU GIÁ,KIỂM TRA DỮ LIỆU TẠO PHIÊN ĐẤU GIÁ,YÊU CẦU DUYỆT PHIÊN ĐẤU GIÁ,SELLER ĐÓNG PHIÊN ĐẤU GIÁ,THÔNG BÁO TRẠNG THÁI PHIÊN,CHATBOT HỖ TRỢ NGƯỜI DÙNG,NGOÀI LỀ,CHỦ ĐỀ NGUY HIỂM,AI HỖ TRỢ AUTO APPROVE,Không Rõ
"Mình quên mật khẩu tài khoản này thì làm sao, kèm chuyện mình vừa login xong, sau đó đừng hiện nhầm chức năng seller, trước khi bot phân tích lỗi đang gặp, kèm chuyện mã phòng AUC-1024.",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Admin ơi, mình quên mật khẩu tài khoản này thì làm sao, kèm chuyện kiểm tra quyền user trước mình đang thao tác?",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m quen mk tk nay thi lam sao, truoc khi tro ly ao tra loi ngan gon vi m chua ro luong",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"mình quên mật khẩu tài khoàn này thì làm sao, đồng thời câu này hơi mơ hồ đang cần xử lý liền",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"mình quên mật khẩu tài khoản này thì làm sao, nhưng nếu cần vào lại hệ thống đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ê cho hỏi, mình quên mật khẩu tài khoản này thì làm sao, kèm chuyện role của mình đang bị lẫn, rồi trợ lý ảo trả lời ngắn gọn; nếu thiếu điều kiện thì báo rõ giúp mình mình đang thao tác.",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mình quên mật khẩu tài khoản này trước khi login, trước khi bot hướng dẫn bước tiếp theo.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Help với, mình quên mật khẩu tài khoản này trước khi login, rồi cần bot hỏi lại cho chắc pls?",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"m quen mk tk nay truoc khi login, truoc khi dang o man login de khoi lam sai",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình quên mật khẩu tài khoàn này trước khi login, kèm chuyện cần đúng quyền bidder mình hơi rén",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình quên mật khẩu tài khoản này trước khi login, kèm chuyện nhờ chatbot giải thích thêm, trước khi cần bot hỏi lại cho chắc đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Này ad, mình quên mật khẩu tài khoản này trước khi login, rồi chưa rõ đang hỏi chức năng nào, rồi mã phòng A17; nếu thiếu điều kiện thì báo rõ giúp mình pls.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mình quên mật khẩu tài khoản này vì cần vào đấu giá, nhưng trước đó tài khoản báo sai mật khẩu.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mình mới dùng app, mình quên mật khẩu tài khoản này vì cần vào đấu giá, rồi vì tài khoản này không phải admin vì mình chưa rõ luồng?",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m quen mk tk nay vi can vao dg, sau do bot phan tich loi dang gap dang can xu ly lien",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"mình quên mật khẩu tài khoản này vì cần vào đấu gía, rồi mình nói hơi thiếu ngữ cảnh, sau đó trước đó tài khoản báo sai mật khẩu nhé",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"mình quên mật khẩu tài khoản này vì cần vào đấu giá, đồng thời sau khi đăng nhập thành công đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Admin ơi, mình quên mật khẩu tài khoản này vì cần vào đấu giá, trước khi đừng hiện nhầm chức năng seller, rồi bot phân tích lỗi đang gặp; nếu thiếu điều kiện thì báo rõ giúp mình vì mình chưa rõ luồng.",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mình quên mật khẩu tài khoản này mà chưa nhận mã, sau đó chatbot nói dễ hiểu giúp mình.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Alo ad, mình quên mật khẩu tài khoản này mà chưa nhận mã, đồng thời không đủ dữ kiện để xử lý thẳng để khỏi làm sai?",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"m quen mk tk nay ma chua nhan ma, dong thoi m vua login xong, nhung dung hien nham chuc nang seller m hoi ren",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình quên mật khẩu tài khoàn này mà chưa nhận mã, đồng thời kiểm tra quyền user trước được không",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mình quên mật khẩu tài khoản này mà chưa nhận mã, nhưng trợ lý ảo trả lời ngắn gọn, nhưng mã phòng SALA-05 đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Help với, mình quên mật khẩu tài khoản này mà chưa nhận mã, sau đó câu này hơi mơ hồ; nếu thiếu điều kiện thì báo rõ giúp mình để khỏi làm sai.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
