text,ĐĂNG KÝ TÀI KHOẢN,ĐĂNG NHẬP HỆ THỐNG,QUÊN MẬT KHẨU VÀ ĐẶT LẠI MẬT KHẨU,PHÂN QUYỀN NGƯỜI DÙNG,QUẢN LÝ SỐ DƯ TÀI KHOẢN,XEM DANH SÁCH PHIÊN ĐẤU GIÁ,XEM CHI TIẾT SẢN PHẨM ĐẤU GIÁ,THAM GIA PHÒNG ĐẤU GIÁ,RỜI PHÒNG ĐẤU GIÁ,ĐẶT GIÁ TRONG PHIÊN ĐẤU GIÁ,CẬP NHẬT GIÁ REALTIME,XEM LỊCH SỬ ĐẶT GIÁ,CHAT TRONG PHÒNG ĐẤU GIÁ,XEM THỜI GIAN CÒN LẠI CỦA PHIÊN,ANTI-SNIPING,KHÓA NGƯỜI THAM GIA MỚI Ở CUỐI PHIÊN,TỰ ĐỘNG CHỐT PHIÊN ĐẤU GIÁ,XỬ LÝ TIỀN KHI PHIÊN KẾT THÚC,TỰ ĐỘNG ĐƯA NGƯỜI DÙNG VỀ LOBBY,SELLER TẠO YÊU CẦU PHIÊN ĐẤU GIÁ,KIỂM TRA DỮ LIỆU TẠO PHIÊN ĐẤU GIÁ,YÊU CẦU DUYỆT PHIÊN ĐẤU GIÁ,SELLER ĐÓNG PHIÊN ĐẤU GIÁ,THÔNG BÁO TRẠNG THÁI PHIÊN,CHATBOT HỖ TRỢ NGƯỜI DÙNG,NGOÀI LỀ,CHỦ ĐỀ NGUY HIỂM,AI HỖ TRỢ AUTO APPROVE,Không Rõ
"Seller muốn tạo phiên iPhone 15 với giá khởi điểm 1 triệu, nhưng kiểm tra dữ liệu tạo phiên có thiếu không, sau đó yêu cầu duyệt còn pending, trước khi bot phân tích lỗi đang gặp, kèm chuyện mã phòng AUC-1024, trước khi sản phẩm iPhone 15.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
"Admin ơi, seller muốn tạo phiên iPhone 15 với giá khởi điểm 1 triệu, rồi admin đã approve chưa mình đang thao tác?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"seller muon tao phien iphone 15 voi gia khoi diem 1 trieu, dong thoi classifier duyet auto dang chay vi m chua ro luong",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"seller muốn tạo phien iPhone 15 với giá khởi điểm 1 triệu, rồi vì tài khoản này không phải admin đang cần xử lý liền",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seller muốn tạo phiên iPhone 15 với giá khởi điểm 1 triệu, trước khi xem dữ liệu trước khi gửi duyệt đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Ê cho hỏi, seller muốn tạo phiên iPhone 15 với giá khởi điểm 1 triệu, sau đó phiên đang chờ admin duyệt, rồi classifier duyệt tự động đang chạy; nếu thiếu điều kiện thì báo rõ giúp mình mình đang thao tác.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"Seller muốn tạo phiên iPhone 15 kèm mô tả rõ ràng, rồi mô hình tự đánh giá phiên này.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Help với, seller muốn tạo phiên iPhone 15 kèm mô tả rõ ràng, nhưng đừng hiện nhầm chức năng seller pls?",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seller muon tao phien iphone 15 kem mo ta ro rang, roi bao loi field con trong de khoi lam sai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"seller muốn tạo phien iPhone 15 kèm mô tả rõ ràng, sau đó gửi lên hàng đợi duyệt, rồi sản phẩm laptop gaming mình hơi rén",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"seller muốn tạo phiên iPhone 15 kèm mô tả rõ ràng, trước khi AI auto approve có tham gia duyệt, sau đó đừng hiện nhầm chức năng seller đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Này ad, seller muốn tạo phiên iPhone 15 kèm mô tả rõ ràng, nhưng kiểm tra quyền user trước, trước khi mã phòng A17; nếu thiếu điều kiện thì báo rõ giúp mình pls.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Seller muốn tạo phiên iPhone 15 để admin duyệt, kèm chuyện thông tin sản phẩm nhập chưa hợp lệ.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Mình mới dùng app, seller muốn tạo phiên iPhone 15 để admin duyệt, rồi xem trạng thái duyệt phiên vì mình chưa rõ luồng?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"seller muon tao phien iphone 15 de ad duyet, sau do neu ai ko chac thi day ad dang can xu ly lien",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"seller muốn tạo phien iPhone 15 để admin duyệt, sau đó role của mình đang bị lẫn, đồng thời thông tin sản phẩm nhập chưa hợp lệ nhé",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"seller muốn tạo phiên iPhone 15 để admin duyệt, rồi validate tên mô tả giá ảnh đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Admin ơi, seller muốn tạo phiên iPhone 15 để admin duyệt, sau đó yêu cầu duyệt còn pending, trước khi bot phân tích lỗi đang gặp; nếu thiếu điều kiện thì báo rõ giúp mình vì mình chưa rõ luồng.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"Seller muốn tạo phiên iPhone 15 có ảnh sản phẩm, đồng thời kết quả auto approve là gì, sau đó sản phẩm tranh sưu tầm.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Alo ad, seller muốn tạo phiên iPhone 15 có ảnh sản phẩm, nhưng cần đúng quyền bidder để khỏi làm sai?",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seller muon tao phien iphone 15 co anh sp, truoc khi check du lieu tao phien co thieu ko, sau do yc duyet con pending m hoi ren",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"seller muốn tạo phien iPhone 15 có ảnh sản phẩm, nhưng admin đã approve chưa được không",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"seller muốn tạo phiên iPhone 15 có ảnh sản phẩm, kèm chuyện classifier duyệt tự động đang chạy, nhưng mã phòng SALA-05 đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Help với, seller muốn tạo phiên iPhone 15 có ảnh sản phẩm, nhưng vì tài khoản này không phải admin; nếu thiếu điều kiện thì báo rõ giúp mình để khỏi làm sai.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Seller muốn tạo phiên iPhone 15 trong hôm nay, trước khi xem dữ liệu trước khi gửi duyệt.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Mình đang bị vướng, seller muốn tạo phiên iPhone 15 trong hôm nay, sau đó phiên đang chờ admin duyệt, rồi classifier duyệt tự động đang chạy đang cần xử lý liền?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"seller muon tao phien iphone 15 trong hom nay, nhung mo hinh tu danh gia phien nay nhe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"seller muốn tạo phien iPhone 15 trong hôm nay, trước khi đừng hiện nhầm chức năng seller, kèm chuyện sản phẩm mô hình Gundam mình đang thao tác",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seller muốn tạo phiên iPhone 15 trong hôm nay, nhưng báo lỗi field còn trống đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Mình mới dùng app, seller muốn tạo phiên iPhone 15 trong hôm nay, đồng thời gửi lên hàng đợi duyệt; nếu thiếu điều kiện thì báo rõ giúp mình đang cần xử lý liền.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Seller muốn tạo phiên đồng hồ cơ với giá khởi điểm 1 triệu, đồng thời AI auto approve có tham gia duyệt, nhưng đừng hiện nhầm chức năng seller.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Cứu mình với, seller muốn tạo phiên đồng hồ cơ với giá khởi điểm 1 triệu, sau đó kiểm tra quyền user trước mình hơi rén?",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seller muon tao phien dong ho co voi gia khoi diem 1 trieu, kem chuyen thong tin sp nhap chua hop le dc ko",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"seller muốn tạo phien đồng hồ cơ với giá khởi điểm 1 triệu, rồi xem trạng thái duyệt phiên, trước khi mã phòng ROOM-88 pls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"seller muốn tạo phiên đồng hồ cơ với giá khởi điểm 1 triệu, sau đó nếu AI không chắc thì đẩy admin, rồi bot hướng dẫn bước tiếp theo đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Alo ad, seller muốn tạo phiên đồng hồ cơ với giá khởi điểm 1 triệu, sau đó role của mình đang bị lẫn, đồng thời thông tin sản phẩm nhập chưa hợp lệ; nếu thiếu điều kiện thì báo rõ giúp mình mình hơi rén.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Seller muốn tạo phiên đồng hồ cơ kèm mô tả rõ ràng, trước khi validate tên mô tả giá ảnh, sau đó sản phẩm áo khoác vintage.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Ê cho hỏi, seller muốn tạo phiên đồng hồ cơ kèm mô tả rõ ràng, kèm chuyện yêu cầu duyệt còn pending nhé?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"seller muon tao phien dong ho co kem mo ta ro rang, truoc khi ket qua auto approve la gi m dang thao tac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"seller muốn tạo phien đồng hồ cơ kèm mô tả rõ ràng, sau đó cần đúng quyền bidder vì mình chưa rõ luồng",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seller muốn tạo phiên đồng hồ cơ kèm mô tả rõ ràng, đồng thời kiểm tra dữ liệu tạo phiên có thiếu không, nhưng yêu cầu duyệt còn pending đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"Mình đang bị vướng, seller muốn tạo phiên đồng hồ cơ kèm mô tả rõ ràng, sau đó admin đã approve chưa; nếu thiếu điều kiện thì báo rõ giúp mình nhé.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Seller muốn tạo phiên đồng hồ cơ để admin duyệt, kèm chuyện classifier duyệt tự động đang chạy.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Này ad, seller muốn tạo phiên đồng hồ cơ để admin duyệt, nhưng vì tài khoản này không phải admin được không?",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seller muon tao phien dong ho co de ad duyet, roi xem du lieu truoc khi gui duyet, kem chuyen ma room bid-09 pls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"seller muốn tạo phien đồng hồ cơ để admin duyệt, đồng thời phiên đang chờ admin duyệt, sau đó classifier duyệt tự động đang chạy, nhưng sản phẩm bàn phím custom để khỏi làm sai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"seller muốn tạo phiên đồng hồ cơ để admin duyệt, trước khi mô hình tự đánh giá phiên này đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Cứu mình với, seller muốn tạo phiên đồng hồ cơ để admin duyệt, rồi đừng hiện nhầm chức năng seller; nếu thiếu điều kiện thì báo rõ giúp mình được không.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Seller muốn tạo phiên đồng hồ cơ có ảnh sản phẩm, sau đó báo lỗi field còn trống.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Admin ơi, seller muốn tạo phiên đồng hồ cơ có ảnh sản phẩm, trước khi gửi lên hàng đợi duyệt mình đang thao tác?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"seller muon tao phien dong ho co co anh sp, kem chuyen ai auto approve co tham gia duyet, sau do dung hien nham chuc nang seller vi m chua ro luong",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"seller muốn tạo phien đồng hồ cơ có ảnh sản phẩm, đồng thời kiểm tra quyền user trước, rồi chatbot nói dễ hiểu giúp mình đang cần xử lý liền",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"seller muốn tạo phiên đồng hồ cơ có ảnh sản phẩm, sau đó thông tin sản phẩm nhập chưa hợp lệ đi, mình hơi rối vì thao tác trên màn hình không rõ lắm.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Ê cho hỏi, seller muốn tạo phiên đồng hồ cơ có ảnh sản phẩm, nhưng xem trạng thái duyệt phiên; nếu thiếu điều kiện thì báo rõ giúp mình mình đang thao tác.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Seller muốn tạo phiên đồng hồ cơ trong hôm nay, sau đó nếu AI không chắc thì đẩy admin, rồi sản phẩm tai nghe Sony.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
